ie_cliente,id,createdby,responsible,datecreated,name,cnpj,socialprofiles,picture,domain,primaryemail,primaryphone,phones,emails,source,origin,notes,employees,projects,projectparticipants,activities,deals,dealparticipants,entitycustomfields
2,6304924,"{""id"": 85354}","{""id"": 85354}",2022-12-22 16:43:46,Name - 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20664527}}]",0.0,0.0,0,0,0.0,[]
2,6264730,"{""id"": 85354}","{""id"": 85354}",2022-12-16 12:16:31,Name - 50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 20558214}}]",0.0,0.0,0,"[{""id"": 30514038}]",0.0,[]
2,9259073,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:56:42,Name - 82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30125171}}]",0.0,0.0,0,0,0.0,[]
2,6211839,"{""id"": 85354}","{""id"": 85354}",2022-12-06 11:55:01,Name - 66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 20397909}}]",0.0,0.0,"[{""id"": 28372364}]","[{""id"": 19899252}]",0.0,[]
2,6304946,"{""id"": 85354}","{""id"": 85354}",2022-12-22 16:52:51,Name - 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20664630}}]",0.0,0.0,"[{""id"": 28391316}]","[{""id"": 20180348}, {""id"": 30514132}]",0.0,[]
2,6304998,"{""id"": 85354}","{""id"": 85354}",2022-12-22 17:10:41,Name - 56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20664894}}]",0.0,0.0,0,0,0.0,[]
2,6305325,"{""id"": 85354}","{""id"": 85354}",2022-12-22 18:04:32,Name - 58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20665776}}]",0.0,0.0,0,0,0.0,[]
2,9876214,"{""id"": 97502}","{""id"": 97502}",2024-06-26 10:40:44,Name - 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 31347495}}]",0.0,0.0,0,0,0.0,[]
2,6305450,"{""id"": 85354}","{""id"": 85354}",2022-12-22 18:14:11,Name - 59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20665900}}, {""contact"": {""id"": 20666005}}]",0.0,0.0,0,0,0.0,[]
2,6305808,"{""id"": 85354}","{""id"": 85354}",2022-12-22 20:09:15,Name - 81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20668287}}]",0.0,0.0,0,0,0.0,[]
