ie_cliente,id,name,active,module,type,description,priority,category,pipelines,boards
2,CF_K7Rm8wSRC9EKdMbN,[LP Conversão][LP Orçamento]{Fechada} Qual é o seu Perfil?,True,CONTACT,TEXT,0,12,0,0,0.0
2,CF_gvGm3rS0CebzwM45,[LP Conversão][LP Orçamento] {Fechada} Você quer receber informações de qual produto Lesco?,True,CONTACT,TEXT,0,13,0,0,0.0
2,CF_wGrqzpiVC64dAmLo,Motivo de Perda,True,DEAL,TEXT,0,25,0,0,0.0
2,CF_E79Mr2ioCVNpdMZJ,[LP Conversão][LP Orçamento]{Fechada} Qual é o seu Perfil?,True,DEAL,TEXT,0,26,0,0,0.0
2,CF_8P5q4Vi2Co0BgmRJ,[LP Conversão][LP Orçamento] {Fechada} Você quer receber informações de qual produto Lesco?,True,DEAL,TEXT,0,27,0,0,0.0
2,CF_G21qVjSlCeanpqAX,Orçamento,True,CONTACT,TEXT,0,14,0,0,0.0
2,CF_g40MLBiPC1p88D29,Orçamento,True,DEAL,TEXT,0,28,0,0,0.0
2,CF_nrLDXoiVCar91mOa,Fonte,True,DEAL,TEXT,Qual a fonte de prospecção do Lead?,29,"{""id"": 9328}","[{""id"": 56548}]",0.0
2,CF_x1kq63SnCYrprMzY,Camada Funil,True,CONTACT,TEXT,0,15,0,0,0.0
2,CF_eZYm9BiyCorWaD47,Camada Funil,True,DEAL,TEXT,0,30,0,0,0.0
2,CF_6rRmwGSvC1a9Lm4X,gclid_field,True,CONTACT,TEXT,0,16,0,0,0.0
2,CF_K7Rm8QiRC9Qo6DbN,gclid_field,True,DEAL,TEXT,0,31,0,0,0.0
2,CF_Rg7Mn4SLC8oVGDvd,Origem,True,CONTACT,TEXT,0,17,0,0,0.0
2,CF_Lo1qjyi1CJWNrDer,Origem,True,DEAL,TEXT,0,32,0,0,0.0
2,CF_2ojMxASPC61ljmOE,Perfil do Lead,True,CONTACT,TEXT,0,18,0,0,0.0
2,CF_K7Rm8wSRC91L8MbN,Prazo Material,True,CONTACT,TEXT,0,19,0,0,0.0
2,CF_3LvDvEi4ClVWom6a,Perfil do Lead,True,DEAL,TEXT,0,33,0,0,0.0
2,CF_wGrqzpiVC6YEWmLo,Prazo Material,True,DEAL,TEXT,0,34,0,0,0.0
2,CF_2ojMxASPC6PL7mOE,Já concluiu a sua obra?,True,CONTACT,TEXT,0,20,0,0,0.0
2,CF_POEMywieCLpXWDdk,Já concluiu a sua obra?,True,DEAL,TEXT,0,35,0,0,0.0
2,CF_eZYm9BivUo9aoD47,Data de envio da proposta,True,DEAL,DATE,0,36,0,0,0.0
